"id";"execution_time";"resources_used";"dataset_content";"strategy_param";"num_kernels";"num_branches";"tree_depth";"pruned_branches";"file_name";"boundary";"optimal_solution";"div_conq";"sw_size";"kernel_remainder";"alpha";"num_formulae"
7074;5.78371;"37488 KB";"[""A1&&A2"", ""!(A0&&A2)"", ""!(A1&&A2)"", ""A0||A0"", ""A0&&A2"", ""(A1&&(A2||A2))&&(A2||A2)"", ""A1&&(A0&&A2)"", ""!A2"", ""A2"", ""!(A1||A2)&&!A2"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""(A0||A1)&&A0"", ""!(A0&&A0)"", ""A2||!A2""]";"3";22;30;10;9;"data/SRS/Dataset_A/sig3_5_15/srs_52.txt";0.0;"[""(A0||A1)&&A0"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""!(A1||A2)&&!A2"", ""!(A1&&A2)"", ""!A2"", ""(A1&&(A2||A2))&&(A2||A2)"", ""A1&&(A0&&A2)"", ""A0&&A2"", ""A0||A0""]";1;10;"kernel";"A0&&!A0";14
7075;0.628878;"37096 KB";"[""(A2||A1)&&(A0&&A2)"", ""!A0"", ""!A1"", ""A1"", ""(A1&&A1)||A2"", ""A2&&A1""]";"3";5;5;3;1;"data/SRS/Dataset_A/sig3_5_15/srs_53.txt";1.0;"[""A2&&A1"", ""A1"", ""(A2||A1)&&(A0&&A2)""]";0;1;"kernel";"A0&&!A0";6
7076;0.824763;"37156 KB";"[""(A2||A1)&&(A0&&A2)"", ""!A0"", ""!A1"", ""A1"", ""(A1&&A1)||A2"", ""A2&&A1""]";"3";5;5;3;1;"data/SRS/Dataset_A/sig3_5_15/srs_53.txt";1.0;"[""A2&&A1"", ""A1"", ""(A2||A1)&&(A0&&A2)""]";1;1;"kernel";"A0&&!A0";6
7077;0.794256;"37364 KB";"[""(A2||A1)&&(A0&&A2)"", ""!A0"", ""!A1"", ""A1"", ""(A1&&A1)||A2"", ""A2&&A1""]";"3";5;5;3;1;"data/SRS/Dataset_A/sig3_5_15/srs_53.txt";1.0;"[""A1"", ""A2&&A1"", ""(A2||A1)&&(A0&&A2)""]";1;5;"kernel";"A0&&!A0";6
7078;6.31292;"37616 KB";"[""A2&&A2"", ""!(A1&&A2)"", ""!A1||A2"", ""!A2&&(A0||A1)"", ""!A0||(A0||A0)"", ""(A1||A0)&&(A0||A0)"", ""!(!A0)"", ""!(!A2)"", ""A0"", ""!A1"", ""!A2"", ""A2"", ""!(A2||A0)""]";"3";23;32;8;10;"data/SRS/Dataset_A/sig3_5_15/srs_54.txt";0.0;"[""A2"", ""!A2&&(A0||A1)"", ""A0"", ""!(!A2)"", ""!(!A0)"", ""(A1||A0)&&(A0||A0)"", ""A2&&A2"", ""!A1||A2""]";0;1;"kernel";"A0&&!A0";13
7079;7.21592;"37392 KB";"[""A2&&A2"", ""!(A1&&A2)"", ""!A1||A2"", ""!A2&&(A0||A1)"", ""!A0||(A0||A0)"", ""(A1||A0)&&(A0||A0)"", ""!(!A0)"", ""!(!A2)"", ""A0"", ""!A1"", ""!A2"", ""A2"", ""!(A2||A0)""]";"3";23;32;8;10;"data/SRS/Dataset_A/sig3_5_15/srs_54.txt";0.0;"[""A2"", ""!A2&&(A0||A1)"", ""A0"", ""!(!A2)"", ""!(!A0)"", ""(A1||A0)&&(A0||A0)"", ""A2&&A2"", ""!A1||A2""]";1;1;"kernel";"A0&&!A0";13
7080;5.27817;"37556 KB";"[""A2&&A2"", ""!(A1&&A2)"", ""!A1||A2"", ""!A2&&(A0||A1)"", ""!A0||(A0||A0)"", ""(A1||A0)&&(A0||A0)"", ""!(!A0)"", ""!(!A2)"", ""A0"", ""!A1"", ""!A2"", ""A2"", ""!(A2||A0)""]";"3";21;31;9;11;"data/SRS/Dataset_A/sig3_5_15/srs_54.txt";0.0;"[""A2&&A2"", ""!A2"", ""!(!A2)"", ""A2"", ""A0"", ""!A2&&(A0||A1)"", ""!(!A0)"", ""(A1||A0)&&(A0||A0)"", ""!A1||A2""]";1;5;"kernel";"A0&&!A0";13
7081;6.9459;"37608 KB";"[""A2&&A2"", ""!(A1&&A2)"", ""!A1||A2"", ""!A2&&(A0||A1)"", ""!A0||(A0||A0)"", ""(A1||A0)&&(A0||A0)"", ""!(!A0)"", ""!(!A2)"", ""A0"", ""!A1"", ""!A2"", ""A2"", ""!(A2||A0)""]";"3";26;40;8;15;"data/SRS/Dataset_A/sig3_5_15/srs_54.txt";0.0;"[""A2&&A2"", ""!(!A2)"", ""A2"", ""A0"", ""!(!A0)"", ""(A1||A0)&&(A0||A0)"", ""!A2&&(A0||A1)""]";1;10;"kernel";"A0&&!A0";13
7082;7.23757;"37732 KB";"[""A2&&A2"", ""A1&&A1"", ""A2||A2"", ""A0||A2"", ""A0||(A2&&A0)"", ""!A0"", ""!A1"", ""A0"", ""A1"", ""A2"", ""(A0&&A1)||!A2"", ""(A0&&A0)&&!A0"", ""A2&&A0""]";"3";21;27;8;7;"data/SRS/Dataset_A/sig3_5_15/srs_55.txt";0.0;"[""A2&&A0"", ""(A0&&A0)&&!A0"", ""(A0&&A1)||!A2"", ""A1"", ""A0"", ""A1&&A1"", ""A0||(A2&&A0)""]";0;1;"kernel";"A0&&!A0";13
7083;7.61672;"37516 KB";"[""A2&&A2"", ""A1&&A1"", ""A2||A2"", ""A0||A2"", ""A0||(A2&&A0)"", ""!A0"", ""!A1"", ""A0"", ""A1"", ""A2"", ""(A0&&A1)||!A2"", ""(A0&&A0)&&!A0"", ""A2&&A0""]";"3";21;27;8;7;"data/SRS/Dataset_A/sig3_5_15/srs_55.txt";0.0;"[""A2&&A0"", ""(A0&&A0)&&!A0"", ""(A0&&A1)||!A2"", ""A1"", ""A0"", ""A1&&A1"", ""A0||(A2&&A0)""]";1;1;"kernel";"A0&&!A0";13
7084;4.66166;"37472 KB";"[""A2&&A2"", ""A1&&A1"", ""A2||A2"", ""A0||A2"", ""A0||(A2&&A0)"", ""!A0"", ""!A1"", ""A0"", ""A1"", ""A2"", ""(A0&&A1)||!A2"", ""(A0&&A0)&&!A0"", ""A2&&A0""]";"3";17;24;9;8;"data/SRS/Dataset_A/sig3_5_15/srs_55.txt";0.0;"[""A1&&A1"", ""(A0&&A1)||!A2"", ""A2&&A0"", ""(A0&&A0)&&!A0"", ""A1"", ""A0"", ""A0||(A2&&A0)""]";1;5;"kernel";"A0&&!A0";13
7085;4.10512;"37472 KB";"[""A2&&A2"", ""A1&&A1"", ""A2||A2"", ""A0||A2"", ""A0||(A2&&A0)"", ""!A0"", ""!A1"", ""A0"", ""A1"", ""A2"", ""(A0&&A1)||!A2"", ""(A0&&A0)&&!A0"", ""A2&&A0""]";"3";16;22;8;7;"data/SRS/Dataset_A/sig3_5_15/srs_55.txt";0.0;"[""A1&&A1"", ""(A0&&A1)||!A2"", ""A2"", ""A2&&A0"", ""(A0&&A0)&&!A0"", ""A1"", ""A0"", ""A0||(A2&&A0)""]";1;10;"kernel";"A0&&!A0";13
